,T 01,T 02,T 03,T 04,T 05,T 06,T 07,T 08,T 09
28-jun-2021 16:30:00,2.30,1.86,2.13,1.77,5.06,4.49,4.44,4.42,2.71
28-jun-2021 16:31:00,2.73,2.12,2.60,2.09,5.13,3.93,4.31,4.08,3.09
28-jun-2021 16:32:00,3.72,3.38,3.65,3.25,5.37,3.92,4.60,4.36,3.92
28-jun-2021 16:33:00,4.29,4.06,4.24,3.95,5.63,4.51,5.04,4.89,4.35
28-jun-2021 16:34:00,4.25,4.01,4.14,3.90,5.94,5.29,5.47,5.41,4.33
28-jun-2021 16:35:00,4.30,4.06,4.19,3.95,6.36,5.81,5.86,5.82,4.46
28-jun-2021 16:36:00,4.41,4.17,4.26,4.02,6.67,6.21,6.18,6.16,4.58
28-jun-2021 16:37:00,4.05,3.58,4.15,3.74,6.13,4.67,5.34,5.09,4.57
28-jun-2021 16:38:00,3.63,2.88,3.78,3.16,5.67,3.89,4.88,4.52,4.21
28-jun-2021 16:39:00,3.28,2.39,3.45,2.73,5.22,3.38,4.49,4.07,3.87
28-jun-2021 16:40:00,2.96,1.91,3.13,2.31,4.87,2.94,4.09,3.66,3.52
28-jun-2021 16:41:00,2.63,1.52,2.80,1.93,4.54,2.54,3.72,3.27,3.22
28-jun-2021 16:42:00,2.33,1.21,2.49,1.62,4.22,2.20,3.38,2.97,2.85
28-jun-2021 16:43:00,2.07,0.92,2.21,1.32,3.87,1.90,3.13,2.67,2.58
28-jun-2021 16:44:00,1.78,0.69,1.95,1.09,3.66,1.64,2.87,2.41,2.30
28-jun-2021 16:45:00,1.55,0.47,1.71,0.86,3.42,1.40,2.58,2.15,2.04
28-jun-2021 16:46:00,1.96,1.16,2.01,1.30,3.58,1.86,2.81,2.50,2.26
28-jun-2021 16:47:00,1.92,1.36,1.87,1.45,3.87,2.98,3.40,3.24,2.31
28-jun-2021 16:48:00,2.04,1.59,1.94,1.53,4.41,3.76,3.85,3.79,2.47
28-jun-2021 16:49:00,2.23,1.86,2.08,1.73,4.84,4.27,4.32,4.24,2.68
28-jun-2021 16:50:00,2.43,2.08,2.25,1.95,5.21,4.74,4.73,4.67,2.89
28-jun-2021 16:51:00,3.95,3.68,3.85,3.52,5.41,4.18,4.77,4.58,4.07
28-jun-2021 16:52:00,4.58,4.39,4.52,4.25,5.73,4.71,5.25,5.06,4.66
28-jun-2021 16:53:00,4.59,4.33,4.49,4.23,5.92,5.34,5.57,5.46,4.60
28-jun-2021 16:54:00,4.60,4.36,4.47,4.23,6.31,5.83,5.98,5.88,4.69
28-jun-2021 16:55:00,4.64,4.43,4.51,4.30,6.61,6.21,6.24,6.23,4.81
28-jun-2021 16:56:00,4.35,3.96,4.45,4.07,6.25,4.97,5.55,5.32,4.79
